slug,provider,offer,actionButtons,tag,description,planType,planName,price,trial,starred,toolType,deliveryType,executionEnvironment,coverage,compliance
blocksec-phalcon,,!offer:blocksec-phalcon,"[""[Website](https://blocksec.com/phalcon)""]",AVM, TEAL,BlockSec Phalcon monitoring for Algorand.,Monitoring,Transaction Monitoring,Subscription,,,Real-time Monitoring,Real-time,AVM, TEAL
chainsecurity,,!offer:chainsecurity,"[""[Website](https://chainsecurity.com/)""]",AVM, TEAL,ChainSecurity formal verification for AVM.,Audit,Smart Contract Audit,Custom,,,Formal Verification,Asynchronous,AVM, TEAL
hacken-blockchain-protocol-audit,,!offer:hacken-blockchain-protocol-audit,,,,,,,,,,,,,
hacken-smart-contract-audit,,!offer:hacken-smart-contract-audit,,,,,,,,,,,,,
halborn-smart-contract-assessment,,!offer:halborn-smart-contract-assessment,"[""[Website](https://www.halborn.com/solutions/smart-contract-assessment)"",""[Discount](https://algorand.co/discounted-service-providers)""]",,,,,,,,,,,,
kudelski-architecture-review,,!offer:kudelski-architecture-review,,,,,,,,,,,,,
kudelski-smart-contract-secure-code-review,,!offer:kudelski-smart-contract-secure-code-review,,,,,,,,,,,"AVM, TEAL",,
openzeppelin-audits,,!offer:openzeppelin-audits,"[""[Website](https://www.openzeppelin.com/security-audits)""]",AVM, TEAL,OpenZeppelin security reviews for AVM/TEAL.,Audit,Security Review,Custom,,,Manual Review,Asynchronous,AVM, TEAL
peckshield-audit,,!offer:peckshield-audit,"[""[Website](https://peckshield.com/)""]",AVM, TEAL,PeckShield audits and on-chain monitoring.,Audit,Smart Contract Audit,Custom,,,Manual Review,Asynchronous,AVM, TEAL
salus-audit,,!offer:salus-audit,"[""[Website](https://salusec.io/)""]",AVM, TEAL,Salus smart contract auditing for AVM.,Audit,Smart Contract Audit,Custom,,,Manual Review,Asynchronous,AVM, TEAL
slowmist-audit,,!offer:slowmist-audit,"[""[Website](https://www.slowmist.com/)""]",AVM, TEAL,SlowMist security audits for Algorand.,Audit,Smart Contract Audit,Custom,,,Manual Review,Asynchronous,AVM, TEAL
ziion-linux-distro,,!offer:ziion-linux-distro,,,,,,,,,,,,,
